ref;speed;CSpeed;State0
1402;1;2;1
1403;2;2;1
1404;1;2;1
1405;1;2;1
1406;1;2;1
1407;2;2;1
1408;1;2;1
1409;1;2;1
1410;1;2;1
1411;1;2;1
1412;1;2;1
1413;1;2;1
1414;1;2;1
1415;1;2;1
1416;1;2;1
1417;1;2;1
1418;0;2;1
1419;1;2;1
1420;0;2;1
1421;1;2;1
1422;1;2;1
1423;1;2;1
1424;1;2;1
1425;1;2;1
1426;1;2;1
1427;1;2;1
1428;1;2;1
1429;2;2;1
1430;1;2;1
1431;1;2;1
1432;1;2;1
1433;1;2;1
1434;1;2;1
1435;1;2;1
1436;2;2;1
1437;1;2;1
1438;1;2;1
1439;1;2;1
1440;1;2;1
1441;1;2;1
1442;2;2;1
1443;2;2;1
1444;1;2;1
1445;1;2;1
1446;1;2;1
1447;1;2;1
1448;1;2;1
1449;1;2;1
1450;2;2;1
1451;0;2;1
1452;0;2;1
1453;1;2;1
1454;0;2;1
1455;1;2;1
1456;1;2;1
1457;2;2;1
1458;2;2;1
1459;2;2;1
1460;2;2;1
1461;1;2;1
1462;1;2;1
1463;1;2;1
1464;0;2;1
1465;0;2;1
1466;0;2;1
1467;1;2;1
1468;0;2;1
1469;0;2;1
1470;0;2;1
1471;0;2;1
1472;0;2;1
1473;0;2;1
1474;1;2;1
1475;1;2;1
1476;3;3;1
1477;3;3;1
1478;3;3;1
1479;2;2;1
1480;2;2;1
1481;2;2;1
1482;1;2;1
1483;0;2;1
1484;1;2;1
1485;0;2;1
1486;0;2;1
1487;0;2;1
1488;1;2;1
1489;2;2;1
1490;2;2;1
1491;3;3;1
1492;2;2;1
1493;2;2;1
1494;2;2;1
1495;2;2;1
1496;2;2;1
1497;0;2;1
1498;0;2;1
1499;1;2;1
1500;1;2;1
1501;1;2;1
1502;2;2;1
1503;2;2;1
1504;3;3;1
1505;3;10;2
1506;3;10;2
1507;3;10;2
1508;3;10;2
1509;3;10;2
1510;4;10;2
1511;4;10;2
1512;6;10;2
1513;8;10;2
1514;10;10;2
1515;12;12;2
1516;13;13;2
1517;14;14;2
1518;14;14;2
1519;14;14;2
1520;14;14;2
1521;14;14;2
1522;15;15;2
1523;15;15;2
1524;15;15;2
1525;16;16;2
1526;16;16;2
1527;16;16;2
1528;16;16;2
1529;16;16;2
1530;16;16;2
1531;16;16;2
1532;16;16;2
1533;16;16;2
1534;16;16;2
1535;16;16;2
1536;15;15;2
1537;12;12;2
1538;9;10;2
1539;6;10;2
1540;4;10;2
1541;3;10;2
1542;2;10;2
1543;1;10;2
1544;0;10;2
1545;2;10;2
1546;6;10;2
1547;8;10;2
1548;10;10;2
1549;13;13;2
1550;17;17;2
1551;21;21;2
1552;23;23;2
1553;26;26;2
1554;29;29;2
1555;32;32;2
1556;34;34;2
1557;36;36;2
1558;37;37;2
1559;39;39;2
1560;40;40;2
1561;39;39;2
1562;38;38;2
1563;37;37;2
1564;36;36;2
1565;35;35;2
1566;33;33;2
1567;33;33;2
1568;32;32;2
1569;31;31;2
1570;32;32;2
1571;34;34;2
1572;34;34;2
1573;36;36;2
1574;37;37;2
1575;38;38;2
1576;38;38;2
1577;38;38;2
1578;36;36;2
1579;36;36;2
1580;34;34;2
1581;35;35;2
1582;36;36;2
1583;34;34;2
1584;30;30;2
1585;28;28;2
1586;27;27;2
1587;26;26;2
1588;24;24;2
1589;23;23;2
1590;22;22;2
1591;20;20;2
1592;19;19;2
1593;16;16;2
1594;14;14;2
1595;11;11;2
1596;7;10;2
1597;5;10;2
1598;6;10;2
1599;7;10;2
1600;8;10;2
1601;9;10;2
1602;9;10;2
1603;10;10;2
1604;10;10;2
1605;14;14;2
1606;16;16;2
1607;18;18;2
1608;21;21;2
1609;24;24;2
1610;26;26;2
1611;27;27;2
1612;27;27;2
1613;24;24;2
1614;22;22;2
1615;20;20;2
1616;20;20;2
