Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
424;0;2;1;1;1;1;12
425;0;2;1;1;1;1;12
426;0;2;1;1;1;1;12
427;0;2;1;1;1;1;11
428;0;2;1;1;1;1;12
429;0;2;1;1;1;1;12
430;0;2;1;1;1;1;12
431;0;2;1;1;1;1;13
432;0;2;1;1;1;1;13
433;0;2;1;1;1;1;11
434;0;2;1;1;1;1;10
435;1;1;1;1;1;1;8
436;1;1;1;1;1;1;8
437;1;1;1;1;1;1;5
438;1;1;1;1;1;1;6
439;1;1;1;1;1;1;5
440;1;1;1;1;1;1;4
441;1;1;1;1;1;1;3
442;1;1;1;1;1;1;3
443;1;1;1;1;1;1;3
444;1;1;1;1;1;1;3
445;1;1;1;1;1;1;4
446;1;1;1;1;1;1;3
447;1;1;1;1;1;1;3
448;1;1;1;1;1;1;3
449;1;1;1;1;1;1;2
450;1;1;1;1;1;1;2
451;1;1;1;1;1;1;2
452;1;1;1;1;1;1;2
453;1;1;1;1;1;1;1
454;1;1;1;1;1;1;1
455;1;1;1;1;1;1;1
456;0;1;1;1;1;1;0
457;1;1;1;1;1;1;1
458;1;1;1;1;1;1;1
459;0;1;1;1;1;1;0
460;1;1;1;1;1;1;1
461;1;1;1;1;1;1;1
462;1;1;1;1;1;1;1
463;0;1;1;1;1;1;0
464;1;1;1;1;1;1;1
465;1;1;1;1;1;1;1
466;1;1;1;1;1;1;1
467;1;1;1;1;1;1;2
468;1;1;1;1;1;1;3
469;1;1;1;1;1;1;3
470;1;1;1;1;1;1;5
471;1;1;1;1;1;1;4
472;1;1;1;1;1;1;3
473;1;1;1;1;1;1;4
474;1;1;1;1;1;1;4
475;1;1;1;1;1;1;5
476;1;1;1;1;1;1;3
477;1;1;1;1;1;1;4
478;1;1;1;1;1;1;4
479;1;1;1;1;1;1;3
480;1;1;1;1;1;1;4
481;1;1;1;1;1;1;4
482;1;1;1;1;1;1;4
483;1;1;1;1;1;1;4
484;1;1;1;1;1;1;2
485;1;1;1;1;1;1;1
486;1;1;1;1;1;1;1
487;1;1;1;1;1;1;1
488;1;1;1;1;1;1;2
489;1;1;1;1;1;1;3
490;1;1;1;1;1;1;2
491;1;1;1;1;1;1;2
492;1;1;1;1;1;1;2
493;1;1;1;1;1;1;1
494;1;1;1;1;1;1;4
495;1;1;1;1;1;1;6
496;1;1;1;1;1;1;6
497;1;1;1;1;1;1;6
498;1;1;1;1;1;1;4
499;1;1;1;1;1;1;3
500;1;1;1;1;1;1;3
501;1;1;1;1;1;1;1
502;0;1;1;1;1;1;0
503;0;1;1;1;1;1;0
504;1;1;1;1;1;1;1
505;0;1;1;1;1;1;0
506;1;1;1;1;1;1;1
507;1;1;1;1;1;1;2
508;1;1;1;1;1;1;2
509;1;1;1;1;1;1;1
510;1;1;1;1;1;1;1
511;1;1;1;1;1;1;1
512;1;1;1;1;1;1;1
513;0;1;1;1;1;1;0
514;0;1;1;1;1;1;0
515;0;1;1;1;1;1;0
516;0;1;1;1;1;1;0
517;0;1;1;1;1;1;0
518;0;1;1;1;1;1;0
519;1;1;1;1;1;1;1
520;1;1;1;1;1;1;3
521;1;1;1;1;1;1;2
522;1;1;1;1;1;1;2
523;1;1;1;1;1;1;2
524;1;1;1;1;1;1;2
525;1;1;1;1;1;1;1
526;0;1;1;1;1;1;0
527;0;1;1;1;1;1;0
528;0;1;1;1;1;1;0
529;0;1;1;1;1;1;0
530;0;1;1;1;1;1;0
531;0;1;1;1;1;1;0
532;0;1;1;1;1;1;0
533;0;1;1;1;1;1;0
534;0;1;1;1;1;1;0
535;0;1;1;1;1;1;0
536;0;1;1;1;1;1;0
537;0;1;1;1;1;1;0
538;0;1;1;1;1;1;0
539;0;1;1;1;1;1;0
540;0;1;1;1;1;1;0
541;1;1;1;1;1;1;1
542;1;1;1;1;1;1;1
543;1;1;1;1;1;1;1
544;1;1;1;1;1;1;2
545;1;1;1;1;1;1;2
546;1;1;1;1;1;1;2
547;1;1;1;1;1;1;3
548;1;1;1;1;1;1;3
549;1;1;1;1;1;1;3
550;1;1;1;1;1;1;4
551;1;1;1;1;1;1;4
552;1;1;1;1;1;1;4
553;1;1;1;1;1;1;4
554;1;1;1;1;1;1;4
555;1;1;1;1;1;1;3
556;1;1;1;1;1;1;2
557;1;1;1;1;1;1;2
558;0;1;1;1;1;1;0
559;0;1;1;1;1;1;0
560;0;1;1;1;1;1;0
561;0;1;1;1;1;1;0
562;0;1;1;1;1;1;0
563;0;1;1;1;1;1;0
564;0;1;1;1;1;1;0
565;0;1;1;1;1;1;0
566;0;1;1;1;1;1;0
567;0;1;1;1;1;1;0
568;0;1;1;1;1;1;0
569;0;1;1;1;1;1;0
570;0;1;1;1;1;1;0
571;0;1;1;1;1;1;0
572;1;1;1;1;1;1;1
573;1;1;1;1;1;1;2
574;1;1;1;1;1;1;2
575;1;1;1;1;1;1;2
576;1;1;1;1;1;1;1
577;1;1;1;1;1;1;1
578;0;1;1;1;1;1;0
579;0;1;1;1;1;1;0
580;1;1;1;1;1;1;1
581;1;1;1;1;1;1;1
582;0;1;1;1;1;1;0
583;0;1;1;1;1;1;0
584;0;1;1;1;1;1;0
585;0;1;1;1;1;1;0
586;1;1;1;1;1;1;1
587;0;1;1;1;1;1;0
588;0;1;1;1;1;1;0
589;0;1;1;1;1;1;0
590;0;1;1;1;1;1;0
591;0;1;1;1;1;1;0
592;0;1;1;1;1;1;0
593;1;1;1;1;1;1;1
594;1;1;1;1;1;1;2
595;1;1;1;1;1;1;1
596;1;1;1;1;1;1;2
597;1;1;1;1;1;1;1
598;1;1;1;1;1;1;1
599;1;1;1;1;1;1;1
600;0;1;1;1;1;1;0
601;1;1;1;1;1;1;1
602;0;1;1;1;1;1;0
603;1;1;1;1;1;1;1
604;1;1;1;1;1;1;1
605;0;1;1;1;1;1;0
606;0;1;1;1;1;1;0
607;1;1;1;1;1;1;1
608;0;1;1;1;1;1;0
609;1;1;1;1;1;1;1
610;1;1;1;1;1;1;2
611;1;1;1;1;1;1;2
612;1;1;1;1;1;1;2
613;1;1;1;1;1;1;2
614;1;1;1;1;1;1;2
615;1;1;1;1;1;1;2
616;1;1;1;1;1;1;1
617;0;1;1;1;1;1;0
618;0;1;1;1;1;1;0
619;0;1;1;1;1;1;0
620;1;1;1;1;1;1;1
621;1;1;1;1;1;1;1
622;1;1;1;1;1;1;2
623;1;1;1;1;1;1;3
624;1;1;1;1;1;1;2
625;1;1;1;1;1;1;1
626;1;1;1;1;1;1;2
627;1;1;1;1;1;1;1
628;0;1;1;1;1;1;0
629;1;1;1;1;1;1;1
630;1;1;1;1;1;1;1
631;0;1;1;1;1;1;0
632;0;1;1;1;1;1;0
633;1;1;1;1;1;1;1
634;1;1;1;1;1;1;1
635;0;1;1;1;1;1;0
636;1;1;1;1;1;1;1
637;1;1;1;1;1;1;2
638;1;1;1;1;1;1;1
639;1;1;1;1;1;1;1
640;1;1;1;1;1;1;1
641;1;1;1;1;1;1;2
