Filename;TimeUTC;speed;Distance_Corrected;State01
2019_0501_145132_801A.MP4;14:55:19;7;0.2;1
2019_0501_145132_801A.MP4;14:55:20;7;0.2;1
2019_0501_145132_801A.MP4;14:55:21;7;0.2;1
2019_0501_145132_801A.MP4;14:55:22;7;0.2;1
2019_0501_145132_801A.MP4;14:55:23;6;0.2;1
2019_0501_145132_801A.MP4;14:55:24;6;0.2;1
2019_0501_145132_801A.MP4;14:55:25;4;0.2;1
2019_0501_145132_801A.MP4;14:55:26;6;0.2;1
2019_0501_145132_801A.MP4;14:55:27;6;0.2;1
2019_0501_145132_801A.MP4;14:55:28;6;0.2;1
2019_0501_145132_801A.MP4;14:55:29;5;0.2;1
2019_0501_145132_801A.MP4;14:55:30;6;0.2;1
2019_0501_145132_801A.MP4;14:55:31;5;0.2;1
2019_0501_145132_801A.MP4;14:55:32;4;0.2;1
2019_0501_145132_801A.MP4;14:55:33;2;0.2;1
2019_0501_145132_801A.MP4;14:55:34;3;0.2;1
2019_0501_145132_801A.MP4;14:55:35;4;0.2;1
2019_0501_145132_801A.MP4;14:55:36;3;0.2;1
2019_0501_145132_801A.MP4;14:55:37;3;0.2;1
2019_0501_145132_801A.MP4;14:55:38;3;0.2;1
2019_0501_145132_801A.MP4;14:55:39;3;0.2;1
2019_0501_145132_801A.MP4;14:55:40;3;0.2;1
2019_0501_145132_801A.MP4;14:55:41;2;0.2;1
2019_0501_145132_801A.MP4;14:55:42;3;0.2;1
2019_0501_145132_801A.MP4;14:55:43;4;0.2;1
2019_0501_145132_801A.MP4;14:55:44;3;0.2;1
2019_0501_145132_801A.MP4;14:55:45;2;0.2;1
2019_0501_145132_801A.MP4;14:55:46;3;0.2;1
2019_0501_145132_801A.MP4;14:55:47;4;0.3;1
2019_0501_145132_801A.MP4;14:55:48;4;0.3;1
2019_0501_145132_801A.MP4;14:55:49;4;0.3;1
2019_0501_145132_801A.MP4;14:55:50;4;0.3;1
2019_0501_145132_801A.MP4;14:55:51;3;0.3;1
2019_0501_145132_801A.MP4;14:55:52;4;0.3;1
2019_0501_145132_801A.MP4;14:55:53;3;0.3;1
2019_0501_145132_801A.MP4;14:55:54;3;0.3;1
2019_0501_145132_801A.MP4;14:55:55;3;0.3;1
2019_0501_145132_801A.MP4;14:55:56;3;0.3;1
2019_0501_145132_801A.MP4;14:55:57;3;0.3;1
2019_0501_145132_801A.MP4;14:55:58;3;0.3;1
2019_0501_145132_801A.MP4;14:55:59;3;0.3;1
2019_0501_145132_801A.MP4;14:56:00;3;0.3;1
2019_0501_145132_801A.MP4;14:56:01;3;0.3;1
2019_0501_145132_801A.MP4;14:56:02;3;0.3;1
2019_0501_145132_801A.MP4;14:56:03;3;0.3;1
2019_0501_145132_801A.MP4;14:56:04;3;0.3;1
2019_0501_145132_801A.MP4;14:56:05;3;0.3;1
2019_0501_145132_801A.MP4;14:56:06;3;0.3;1
2019_0501_145132_801A.MP4;14:56:07;3;0.3;1
2019_0501_145132_801A.MP4;14:56:08;3;0.3;1
2019_0501_145132_801A.MP4;14:56:09;3;0.3;1
2019_0501_145132_801A.MP4;14:56:10;4;0.3;1
2019_0501_145132_801A.MP4;14:56:11;4;0.3;1
2019_0501_145132_801A.MP4;14:56:12;3;0.3;1
2019_0501_145132_801A.MP4;14:56:13;3;0.3;1
2019_0501_145132_801A.MP4;14:56:14;3;0.3;1
2019_0501_145132_801A.MP4;14:56:15;2;0.3;1
2019_0501_145132_801A.MP4;14:56:16;3;0.3;1
2019_0501_145132_801A.MP4;14:56:17;3;0.3;1
2019_0501_145132_801A.MP4;14:56:18;3;0.3;1
2019_0501_145132_801A.MP4;14:56:19;3;0.3;1
2019_0501_145132_801A.MP4;14:56:20;3;0.3;1
2019_0501_145132_801A.MP4;14:56:21;3;0.3;1
2019_0501_145132_801A.MP4;14:56:22;4;0.3;1
2019_0501_145132_801A.MP4;14:56:23;3;0.3;1
2019_0501_145132_801A.MP4;14:56:24;3;0.3;1
2019_0501_145132_801A.MP4;14:56:25;2;0.3;1
2019_0501_145132_801A.MP4;14:56:26;3;0.3;1
2019_0501_145132_801A.MP4;14:56:27;3;0.3;1
2019_0501_145132_801A.MP4;14:56:28;3;0.3;1
2019_0501_145132_801A.MP4;14:56:29;3;0.3;1
2019_0501_145132_801A.MP4;14:56:30;3;0.3;1
2019_0501_145132_801A.MP4;14:56:31;3;0.3;1
2019_0501_145632_803A.MP4;14:56:31;3;0.3;1
2019_0501_145632_803A.MP4;14:56:32;3;0.3;1
2019_0501_145632_803A.MP4;14:56:33;3;0.3;1
2019_0501_145632_803A.MP4;14:56:34;3;0.3;1
2019_0501_145632_803A.MP4;14:56:35;3;0.3;1
2019_0501_145632_803A.MP4;14:56:36;3;0.3;1
2019_0501_145632_803A.MP4;14:56:37;3;0.3;1
2019_0501_145632_803A.MP4;14:56:38;3;0.3;1
2019_0501_145632_803A.MP4;14:56:39;2;0.3;1
2019_0501_145632_803A.MP4;14:56:40;3;0.3;1
2019_0501_145632_803A.MP4;14:56:41;2;0.3;1
2019_0501_145632_803A.MP4;14:56:42;3;0.3;1
2019_0501_145632_803A.MP4;14:56:43;3;0.3;1
2019_0501_145632_803A.MP4;14:56:44;4;0.3;1
2019_0501_145632_803A.MP4;14:56:45;4;0.3;1
